,date,month,hour,values_2023,values_2022,values_2021,values_2020,values_2019,values_2018
73,4.0,1.0,1.0,2.8,5.6,8.4,11.2,14.0,16.8
74,4.0,1.0,2.0,3.6,6.0,8.4,10.8,13.2,15.6
75,4.0,1.0,3.0,2.6,4.3,6.0,7.7,9.4,11.1
76,4.0,1.0,4.0,33.8,20.1,6.4,-7.3,-21.0,-34.7
77,4.0,1.0,5.0,162.4,84.2,6.0,-72.2,-150.4,-228.6
78,4.0,1.0,6.0,178.4,92.4,6.4,-79.6,-165.6,-251.6
79,4.0,1.0,7.0,183.0,96.1,9.2,-77.7,-164.6,-251.5
80,4.0,1.0,8.0,183.4,98.9,14.4,-70.1,-154.6,-239.1
81,4.0,1.0,9.0,175.8,96.9,18.0,-60.9,-139.8,-218.7
82,4.0,1.0,10.0,173.8,94.9,16.0,-62.9,-141.8,-220.7
83,4.0,1.0,11.0,169.4,92.9,16.4,-60.1,-136.6,-213.1
84,4.0,1.0,12.0,146.2,81.1,16.0,-49.1,-114.2,-179.3
85,4.0,1.0,13.0,5.6,11.6,17.6,23.6,29.6,35.6
86,4.0,1.0,14.0,4.0,11.0,18.0,25.0,32.0,39.0
87,4.0,1.0,15.0,4.2,82.7,161.2,239.7,318.2,396.7
88,4.0,1.0,16.0,4.6,156.5,308.4,460.3,612.2,764.1
89,4.0,1.0,17.0,3.8,163.1,322.4,481.7,641.0,800.3
90,4.0,1.0,18.0,5.0,162.3,319.6,476.9,634.2,791.5
91,4.0,1.0,19.0,7.8,160.9,314.0,467.1,620.2,773.3
92,4.0,1.0,20.0,11.6,167.0,322.4,477.8,633.2,788.6
93,4.0,1.0,21.0,10.2,167.5,324.8,482.1,639.4,796.7
94,4.0,1.0,22.0,4.8,161.6,318.4,475.2,632.0,788.8
95,4.0,1.0,23.0,4.4,160.6,316.8,473.0,629.2,785.4
96,5.0,1.0,0.0,3.6,158.8,314.0,469.2,624.4,779.6
97,5.0,1.0,1.0,4.8,162.2,319.6,477.0,634.4,791.8
98,5.0,1.0,2.0,4.0,160.4,316.8,473.2,629.6,786.0
99,5.0,1.0,3.0,4.6,159.5,314.4,469.3,624.2,779.1
100,5.0,1.0,4.0,6.6,161.1,315.6,470.1,624.6,779.1
101,5.0,1.0,5.0,17.2,166.6,316.0,465.4,614.8,764.2
102,5.0,1.0,6.0,152.8,235.2,317.6,400.0,482.4,564.8
103,5.0,1.0,7.0,187.6,256.6,325.6,394.6,463.6,532.6
104,5.0,1.0,8.0,169.6,245.4,321.2,397.0,472.8,548.6
105,5.0,1.0,9.0,172.8,247.8,322.8,397.8,472.8,547.8
106,5.0,1.0,10.0,177.6,249.8,322.0,394.2,466.4,538.6
107,5.0,1.0,11.0,177.4,247.5,317.6,387.7,457.8,527.9
108,5.0,1.0,12.0,173.0,244.9,316.8,388.7,460.6,532.5
109,5.0,1.0,13.0,165.6,242.2,318.8,395.4,472.0,548.6
110,5.0,1.0,14.0,146.0,233.8,321.6,409.4,497.2,585.0
111,5.0,1.0,15.0,137.6,238.6,339.6,440.6,541.6,642.6
112,5.0,1.0,16.0,58.6,174.7,290.8,406.9,523.0,639.1
113,5.0,1.0,17.0,7.2,151.0,294.8,438.6,582.4,726.2
114,5.0,1.0,18.0,3.8,151.1,298.4,445.7,593.0,740.3
115,5.0,1.0,19.0,4.8,148.0,291.2,434.4,577.6,720.8
116,5.0,1.0,20.0,6.6,126.9,247.2,367.5,487.8,608.1
117,5.0,1.0,21.0,8.4,151.8,295.2,438.6,582.0,725.4
118,5.0,1.0,22.0,3.6,148.4,293.2,438.0,582.8,727.6
119,5.0,1.0,23.0,3.8,149.1,294.4,439.7,585.0,730.3
120,6.0,1.0,0.0,4.0,146.8,289.6,432.4,575.2,718.0
121,6.0,1.0,1.0,9.4,149.3,289.2,429.1,569.0,708.9
122,6.0,1.0,2.0,9.2,150.2,291.2,432.2,573.2,714.2
123,6.0,1.0,3.0,4.6,149.3,294.0,438.7,583.4,728.1
124,6.0,1.0,4.0,3.6,149.2,294.8,440.4,586.0,731.6
125,6.0,1.0,5.0,3.4,148.3,293.2,438.1,583.0,727.9
126,6.0,1.0,6.0,3.0,147.5,292.0,436.5,581.0,725.5
127,6.0,1.0,7.0,5.4,149.5,293.6,437.7,581.8,725.9
128,6.0,1.0,8.0,6.0,151.8,297.6,443.4,589.2,735.0
129,6.0,1.0,9.0,6.8,164.8,322.8,480.8,638.8,796.8
130,6.0,1.0,10.0,7.2,162.2,317.2,472.2,627.2,782.2
131,6.0,1.0,11.0,6.6,176.3,346.0,515.7,685.4,855.1
132,6.0,1.0,12.0,11.6,168.2,324.8,481.4,638.0,794.6
133,6.0,1.0,13.0,11.8,171.5,331.2,490.9,650.6,810.3
134,6.0,1.0,14.0,9.8,163.5,317.2,470.9,624.6,778.3
135,6.0,1.0,15.0,3.6,158.6,313.6,468.6,623.6,778.6
136,6.0,1.0,16.0,4.4,159.2,314.0,468.8,623.6,778.4
137,6.0,1.0,17.0,4.6,157.3,310.0,462.7,615.4,768.1
138,6.0,1.0,18.0,5.2,153.8,302.4,451.0,599.6,748.2
139,6.0,1.0,19.0,5.6,148.4,291.2,434.0,576.8,719.6
140,6.0,1.0,20.0,3.6,152.0,300.4,448.8,597.2,745.6
141,6.0,1.0,21.0,4.6,160.1,315.6,471.1,626.6,782.1
142,6.0,1.0,22.0,4.0,157.4,310.8,464.2,617.6,771.0
143,6.0,1.0,23.0,7.8,161.9,316.0,470.1,624.2,778.3
144,7.0,1.0,0.0,5.4,160.7,316.0,471.3,626.6,781.9
145,7.0,1.0,1.0,2.8,160.6,318.4,476.2,634.0,791.8
146,7.0,1.0,2.0,3.4,154.1,304.8,455.5,606.2,756.9
147,7.0,1.0,3.0,2.6,154.7,306.8,458.9,611.0,763.1
148,7.0,1.0,4.0,6.4,157.8,309.2,460.6,612.0,763.4
149,7.0,1.0,5.0,117.0,210.1,303.2,396.3,489.4,582.5
150,7.0,1.0,6.0,177.8,237.9,298.0,358.1,418.2,478.3
151,7.0,1.0,7.0,184.0,239.2,294.4,349.6,404.8,460.0
152,7.0,1.0,8.0,182.6,236.7,290.8,344.9,399.0,453.1
153,7.0,1.0,9.0,185.8,236.5,287.2,337.9,388.6,439.3
154,7.0,1.0,10.0,165.8,232.3,298.8,365.3,431.8,498.3
155,7.0,1.0,11.0,11.0,166.1,321.2,476.3,631.4,786.5
156,7.0,1.0,12.0,11.4,159.1,306.8,454.5,602.2,749.9
157,7.0,1.0,13.0,8.2,157.7,307.2,456.7,606.2,755.7
158,7.0,1.0,14.0,5.2,155.6,306.0,456.4,606.8,757.2
159,7.0,1.0,15.0,5.6,175.4,345.2,515.0,684.8,854.6
160,7.0,1.0,16.0,3.6,162.0,320.4,478.8,637.2,795.6
161,7.0,1.0,17.0,3.6,156.4,309.2,462.0,614.8,767.6
162,7.0,1.0,18.0,3.4,169.7,336.0,502.3,668.6,834.9
163,7.0,1.0,19.0,3.6,163.2,322.8,482.4,642.0,801.6
164,7.0,1.0,20.0,6.4,161.2,316.0,470.8,625.6,780.4
165,7.0,1.0,21.0,4.8,160.8,316.8,472.8,628.8,784.8
166,7.0,1.0,22.0,3.4,159.1,314.8,470.5,626.2,781.9
167,7.0,1.0,23.0,2.6,154.3,306.0,457.7,609.4,761.1
168,8.0,1.0,0.0,5.2,153.6,302.0,450.4,598.8,747.2
169,8.0,1.0,1.0,11.0,158.9,306.8,454.7,602.6,750.5
170,8.0,1.0,2.0,6.8,155.2,303.6,452.0,600.4,748.8
171,8.0,1.0,3.0,3.4,150.7,298.0,445.3,592.6,739.9
172,8.0,1.0,4.0,3.0,151.9,300.8,449.7,598.6,747.5
173,8.0,1.0,5.0,2.6,152.9,303.2,453.5,603.8,754.1
174,8.0,1.0,6.0,5.0,164.3,323.6,482.9,642.2,801.5
175,8.0,1.0,7.0,4.6,171.7,338.8,505.9,673.0,840.1
176,8.0,1.0,8.0,3.2,160.0,316.8,473.6,630.4,787.2
177,8.0,1.0,9.0,3.6,153.8,304.0,454.2,604.4,754.6
178,8.0,1.0,10.0,3.6,152.0,300.4,448.8,597.2,745.6
179,8.0,1.0,11.0,6.4,150.4,294.4,438.4,582.4,726.4
180,8.0,1.0,12.0,8.8,168.4,328.0,487.6,647.2,806.8
181,8.0,1.0,13.0,5.6,157.2,308.8,460.4,612.0,763.6
182,8.0,1.0,14.0,3.6,157.2,310.8,464.4,618.0,771.6
183,8.0,1.0,15.0,2.0,155.4,308.8,462.2,615.6,769.0
184,8.0,1.0,16.0,3.0,154.1,305.2,456.3,607.4,758.5
185,8.0,1.0,17.0,2.6,150.7,298.8,446.9,595.0,743.1
186,8.0,1.0,18.0,4.6,151.9,299.2,446.5,593.8,741.1
187,8.0,1.0,19.0,3.8,152.5,301.2,449.9,598.6,747.3
188,8.0,1.0,20.0,3.0,153.3,303.6,453.9,604.2,754.5
189,8.0,1.0,21.0,7.6,153.0,298.4,443.8,589.2,734.6
190,8.0,1.0,22.0,11.0,161.7,312.4,463.1,613.8,764.5
191,8.0,1.0,23.0,6.4,155.0,303.6,452.2,600.8,749.4
192,9.0,1.0,0.0,4.0,151.6,299.2,446.8,594.4,742.0
193,9.0,1.0,1.0,3.2,150.8,298.4,446.0,593.6,741.2
194,9.0,1.0,2.0,2.8,150.4,298.0,445.6,593.2,740.8
195,9.0,1.0,3.0,2.0,152.4,302.8,453.2,603.6,754.0
196,9.0,1.0,4.0,4.0,154.4,304.8,455.2,605.6,756.0
197,9.0,1.0,5.0,7.6,154.0,300.4,446.8,593.2,739.6
198,9.0,1.0,6.0,6.8,153.8,300.8,447.8,594.8,741.8
199,9.0,1.0,7.0,10.4,155.4,300.4,445.4,590.4,735.4
200,9.0,1.0,8.0,15.6,155.4,295.2,435.0,574.8,714.6
201,9.0,1.0,9.0,6.8,150.8,294.8,438.8,582.8,726.8
202,9.0,1.0,10.0,7.4,156.5,305.6,454.7,603.8,752.9
203,9.0,1.0,11.0,29.4,166.1,302.8,439.5,576.2,712.9
204,9.0,1.0,12.0,29.8,175.9,322.0,468.1,614.2,760.3
205,9.0,1.0,13.0,37.8,179.5,321.2,462.9,604.6,746.3
206,9.0,1.0,14.0,5.2,159.4,313.6,467.8,622.0,776.2
207,9.0,1.0,15.0,2.6,159.7,316.8,473.9,631.0,788.1
208,9.0,1.0,16.0,3.0,161.3,319.6,477.9,636.2,794.5
209,9.0,1.0,17.0,4.2,160.1,316.0,471.9,627.8,783.7
210,9.0,1.0,18.0,8.0,160.4,312.8,465.2,617.6,770.0
211,9.0,1.0,19.0,10.6,165.3,320.0,474.7,629.4,784.1
212,9.0,1.0,20.0,8.8,167.0,325.2,483.4,641.6,799.8
213,9.0,1.0,21.0,3.8,159.3,314.8,470.3,625.8,781.3
214,9.0,1.0,22.0,3.0,157.3,311.6,465.9,620.2,774.5
215,9.0,1.0,23.0,2.6,160.1,317.6,475.1,632.6,790.1
216,10.0,1.0,0.0,3.4,160.9,318.4,475.9,633.4,790.9
217,10.0,1.0,1.0,2.0,156.2,310.4,464.6,618.8,773.0
218,10.0,1.0,2.0,3.2,156.4,309.6,462.8,616.0,769.2
219,10.0,1.0,3.0,4.2,158.3,312.4,466.5,620.6,774.7
220,10.0,1.0,4.0,9.6,158.4,307.2,456.0,604.8,753.6
221,10.0,1.0,5.0,10.2,161.1,312.0,462.9,613.8,764.7
222,10.0,1.0,6.0,7.8,160.9,314.0,467.1,620.2,773.3
223,10.0,1.0,7.0,12.2,161.9,311.6,461.3,611.0,760.7
224,10.0,1.0,8.0,31.6,176.4,321.2,466.0,610.8,755.6
225,10.0,1.0,9.0,6.0,172.8,339.6,506.4,673.2,840.0
226,10.0,1.0,10.0,7.4,164.5,321.6,478.7,635.8,792.9
227,10.0,1.0,11.0,3.8,166.5,329.2,491.9,654.6,817.3
228,10.0,1.0,12.0,3.4,165.3,327.2,489.1,651.0,812.9
229,10.0,1.0,13.0,2.0,159.0,316.0,473.0,630.0,787.0
230,10.0,1.0,14.0,3.6,162.0,320.4,478.8,637.2,795.6
231,10.0,1.0,15.0,7.2,173.8,340.4,507.0,673.6,840.2
232,10.0,1.0,16.0,5.0,157.7,310.4,463.1,615.8,768.5
233,10.0,1.0,17.0,5.4,158.9,312.4,465.9,619.4,772.9
234,10.0,1.0,18.0,7.6,157.4,307.2,457.0,606.8,756.6
235,10.0,1.0,19.0,5.6,157.0,308.4,459.8,611.2,762.6
236,10.0,1.0,20.0,10.2,158.7,307.2,455.7,604.2,752.7
237,10.0,1.0,21.0,9.8,156.3,302.8,449.3,595.8,742.3
238,10.0,1.0,22.0,11.8,158.5,305.2,451.9,598.6,745.3
239,10.0,1.0,23.0,9.6,156.8,304.0,451.2,598.4,745.6
240,11.0,1.0,0.0,5.0,154.7,304.4,454.1,603.8,753.5
241,11.0,1.0,1.0,4.2,151.5,298.8,446.1,593.4,740.7
242,11.0,1.0,2.0,9.8,153.9,298.0,442.1,586.2,730.3
243,11.0,1.0,3.0,9.4,105.7,202.0,298.3,394.6,490.9
244,11.0,1.0,4.0,68.0,38.6,9.2,-20.2,-49.6,-79.0
245,11.0,1.0,5.0,138.4,74.6,10.8,-53.0,-116.8,-180.6
246,11.0,1.0,6.0,5.8,9.5,13.2,16.9,20.6,24.3
247,11.0,1.0,7.0,77.4,46.1,14.8,-16.5,-47.8,-79.1
248,11.0,1.0,8.0,210.6,111.5,12.4,-86.7,-185.8,-284.9
249,11.0,1.0,9.0,201.6,118.8,36.0,-46.8,-129.6,-212.4
250,11.0,1.0,10.0,195.2,208.6,222.0,235.4,248.8,262.2
251,11.0,1.0,11.0,174.6,236.1,297.6,359.1,420.6,482.1
252,11.0,1.0,12.0,171.0,238.7,306.4,374.1,441.8,509.5
253,11.0,1.0,13.0,199.8,260.9,322.0,383.1,444.2,505.3
254,11.0,1.0,14.0,184.2,251.3,318.4,385.5,452.6,519.7
255,11.0,1.0,15.0,179.6,250.8,322.0,393.2,464.4,535.6
256,11.0,1.0,16.0,179.4,255.7,332.0,408.3,484.6,560.9
257,11.0,1.0,17.0,193.0,261.7,330.4,399.1,467.8,536.5
258,11.0,1.0,18.0,186.8,259.8,332.8,405.8,478.8,551.8
259,11.0,1.0,19.0,206.0,269.0,332.0,395.0,458.0,521.0
260,11.0,1.0,20.0,198.8,266.4,334.0,401.6,469.2,536.8
261,11.0,1.0,21.0,186.6,259.3,332.0,404.7,477.4,550.1
262,11.0,1.0,22.0,188.4,263.0,337.6,412.2,486.8,561.4
263,11.0,1.0,23.0,191.4,260.5,329.6,398.7,467.8,536.9
264,12.0,1.0,0.0,211.0,269.1,327.2,385.3,443.4,501.5
265,12.0,1.0,1.0,204.4,263.8,323.2,382.6,442.0,501.4
266,12.0,1.0,2.0,175.2,250.4,325.6,400.8,476.0,551.2
267,12.0,1.0,3.0,173.4,244.3,315.2,386.1,457.0,527.9
268,12.0,1.0,4.0,171.2,243.8,316.4,389.0,461.6,534.2
269,12.0,1.0,5.0,183.6,250.0,316.4,382.8,449.2,515.6
270,12.0,1.0,6.0,176.2,249.9,323.6,397.3,471.0,544.7
271,12.0,1.0,7.0,196.6,259.5,322.4,385.3,448.2,511.1
272,12.0,1.0,8.0,182.4,256.2,330.0,403.8,477.6,551.4
273,12.0,1.0,9.0,174.8,253.2,331.6,410.0,488.4,566.8
274,12.0,1.0,10.0,174.2,256.5,338.8,421.1,503.4,585.7
275,12.0,1.0,11.0,172.0,251.6,331.2,410.8,490.4,570.0
276,12.0,1.0,12.0,182.4,257.0,331.6,406.2,480.8,555.4
277,12.0,1.0,13.0,184.6,258.7,332.8,406.9,481.0,555.1
278,12.0,1.0,14.0,181.4,259.5,337.6,415.7,493.8,571.9
279,12.0,1.0,15.0,175.2,252.2,329.2,406.2,483.2,560.2
280,12.0,1.0,16.0,108.6,220.7,332.8,444.9,557.0,669.1
281,12.0,1.0,17.0,3.6,162.0,320.4,478.8,637.2,795.6
282,12.0,1.0,18.0,6.6,154.9,303.2,451.5,599.8,748.1
283,12.0,1.0,19.0,8.4,154.6,300.8,447.0,593.2,739.4
284,12.0,1.0,20.0,9.0,159.1,309.2,459.3,609.4,759.5
285,12.0,1.0,21.0,5.0,159.7,314.4,469.1,623.8,778.5
286,12.0,1.0,22.0,3.4,152.3,301.2,450.1,599.0,747.9
287,12.0,1.0,23.0,3.6,157.8,312.0,466.2,620.4,774.6
288,13.0,1.0,0.0,4.8,159.8,314.8,469.8,624.8,779.8
289,13.0,1.0,1.0,3.6,158.2,312.8,467.4,622.0,776.6
290,13.0,1.0,2.0,20.6,160.9,301.2,441.5,581.8,722.1
291,13.0,1.0,3.0,21.8,160.5,299.2,437.9,576.6,715.3
292,13.0,1.0,4.0,23.0,166.1,309.2,452.3,595.4,738.5
293,13.0,1.0,5.0,162.6,231.5,300.4,369.3,438.2,507.1
294,13.0,1.0,6.0,201.4,253.5,305.6,357.7,409.8,461.9
295,13.0,1.0,7.0,198.6,252.5,306.4,360.3,414.2,468.1
296,13.0,1.0,8.0,198.2,256.9,315.6,374.3,433.0,491.7
297,13.0,1.0,9.0,201.8,261.7,321.6,381.5,441.4,501.3
298,13.0,1.0,10.0,201.4,263.7,326.0,388.3,450.6,512.9
299,13.0,1.0,11.0,198.0,259.6,321.2,382.8,444.4,506.0
300,13.0,1.0,12.0,184.4,250.4,316.4,382.4,448.4,514.4
301,13.0,1.0,13.0,199.8,256.3,312.8,369.3,425.8,482.3
302,13.0,1.0,14.0,196.6,257.7,318.8,379.9,441.0,502.1
303,13.0,1.0,15.0,184.6,250.1,315.6,381.1,446.6,512.1
304,13.0,1.0,16.0,200.2,259.5,318.8,378.1,437.4,496.7
305,13.0,1.0,17.0,197.4,257.1,316.8,376.5,436.2,495.9
306,13.0,1.0,18.0,185.2,257.0,328.8,400.6,472.4,544.2
307,13.0,1.0,19.0,194.0,262.0,330.0,398.0,466.0,534.0
308,13.0,1.0,20.0,190.0,267.8,345.6,423.4,501.2,579.0
309,13.0,1.0,21.0,187.8,254.5,321.2,387.9,454.6,521.3
310,13.0,1.0,22.0,132.0,222.8,313.6,404.4,495.2,586.0
311,13.0,1.0,23.0,11.8,160.7,309.6,458.5,607.4,756.3
312,14.0,1.0,0.0,8.6,158.5,308.4,458.3,608.2,758.1
313,14.0,1.0,1.0,18.0,162.2,306.4,450.6,594.8,739.0
314,14.0,1.0,2.0,21.0,164.9,308.8,452.7,596.6,740.5
315,14.0,1.0,3.0,23.4,168.1,312.8,457.5,602.2,746.9
316,14.0,1.0,4.0,12.2,159.9,307.6,455.3,603.0,750.7
317,14.0,1.0,5.0,179.6,243.4,307.2,371.0,434.8,498.6
318,14.0,1.0,6.0,210.8,264.6,318.4,372.2,426.0,479.8
319,14.0,1.0,7.0,206.6,263.5,320.4,377.3,434.2,491.1
320,14.0,1.0,8.0,197.2,254.6,312.0,369.4,426.8,484.2
321,14.0,1.0,9.0,179.6,246.4,313.2,380.0,446.8,513.6
322,14.0,1.0,10.0,171.0,241.1,311.2,381.3,451.4,521.5
323,14.0,1.0,11.0,188.0,248.6,309.2,369.8,430.4,491.0
324,14.0,1.0,12.0,170.8,242.8,314.8,386.8,458.8,530.8
325,14.0,1.0,13.0,168.4,246.2,324.0,401.8,479.6,557.4
326,14.0,1.0,14.0,162.6,237.9,313.2,388.5,463.8,539.1
327,14.0,1.0,15.0,162.2,237.9,313.6,389.3,465.0,540.7
328,14.0,1.0,16.0,125.6,224.8,324.0,423.2,522.4,621.6
329,14.0,1.0,17.0,4.8,167.4,330.0,492.6,655.2,817.8
330,14.0,1.0,18.0,4.2,164.9,325.6,486.3,647.0,807.7
331,14.0,1.0,19.0,8.0,170.4,332.8,495.2,657.6,820.0
332,14.0,1.0,20.0,8.6,170.1,331.6,493.1,654.6,816.1
333,14.0,1.0,21.0,3.0,166.5,330.0,493.5,657.0,820.5
334,14.0,1.0,22.0,10.2,166.1,322.0,477.9,633.8,789.7
335,14.0,1.0,23.0,5.8,166.1,326.4,486.7,647.0,807.3
336,15.0,1.0,0.0,3.8,163.7,323.6,483.5,643.4,803.3
337,15.0,1.0,1.0,5.2,166.8,328.4,490.0,651.6,813.2
338,15.0,1.0,2.0,4.2,166.9,329.6,492.3,655.0,817.7
339,15.0,1.0,3.0,3.2,163.0,322.8,482.6,642.4,802.2
340,15.0,1.0,4.0,5.2,164.6,324.0,483.4,642.8,802.2
341,15.0,1.0,5.0,7.2,170.4,333.6,496.8,660.0,823.2
342,15.0,1.0,6.0,3.4,168.3,333.2,498.1,663.0,827.9
343,15.0,1.0,7.0,8.6,166.3,324.0,481.7,639.4,797.1
344,15.0,1.0,8.0,8.8,167.0,325.2,483.4,641.6,799.8
345,15.0,1.0,9.0,6.8,167.8,328.8,489.8,650.8,811.8
346,15.0,1.0,10.0,5.4,173.5,341.6,509.7,677.8,845.9
347,15.0,1.0,11.0,3.2,165.8,328.4,491.0,653.6,816.2
348,15.0,1.0,12.0,3.2,170.2,337.2,504.2,671.2,838.2
349,15.0,1.0,13.0,9.4,173.1,336.8,500.5,664.2,827.9
350,15.0,1.0,14.0,10.2,176.7,343.2,509.7,676.2,842.7
351,15.0,1.0,15.0,4.2,178.9,353.6,528.3,703.0,877.7
352,15.0,1.0,16.0,4.0,165.2,326.4,487.6,648.8,810.0
353,15.0,1.0,17.0,4.2,170.5,336.8,503.1,669.4,835.7
354,15.0,1.0,18.0,4.0,172.2,340.4,508.6,676.8,845.0
355,15.0,1.0,19.0,4.0,167.4,330.8,494.2,657.6,821.0
356,15.0,1.0,20.0,3.8,168.9,334.0,499.1,664.2,829.3
357,15.0,1.0,21.0,3.8,174.5,345.2,515.9,686.6,857.3
358,15.0,1.0,22.0,7.6,171.6,335.6,499.6,663.6,827.6
359,15.0,1.0,23.0,10.4,173.2,336.0,498.8,661.6,824.4
360,16.0,1.0,0.0,9.4,171.3,333.2,495.1,657.0,818.9
361,16.0,1.0,1.0,4.6,166.7,328.8,490.9,653.0,815.1
362,16.0,1.0,2.0,2.8,173.4,344.0,514.6,685.2,855.8
363,16.0,1.0,3.0,2.2,170.3,338.4,506.5,674.6,842.7
